CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.02.01.02;Títulos Designados a Valor Justo;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.03;Contas a Receber;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.03;Contas a Receber;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.03.01;Clientes;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.03.01;Clientes;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.03.02;Outras Contas a Receber;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.03.02;Outras Contas a Receber;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.04;Estoques;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.04;Estoques;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.05;Ativos Biológicos;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.05;Ativos Biológicos;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.06;Tributos a Recuperar;4984.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.06;Tributos a Recuperar;11.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.06.01;Tributos Correntes a Recuperar;4984.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.06.01;Tributos Correntes a Recuperar;11.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.07;Despesas Antecipadas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.07;Despesas Antecipadas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08;Outros Ativos Circulantes;226269.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08;Outros Ativos Circulantes;1309707.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08.03;Outros;226269.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08.03;Outros;1309707.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08.03.01;Depósitos;7802.0;N
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08.03.01;Depósitos;0.0;N
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08.03.03;Outros Ativos;2079.0;N
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08.03.03;Outros Ativos;2357.0;N
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.01.08.03.04;Partes relacionadas;216388.0;N
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08.03.04;Partes relacionadas;1307350.0;N
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02;Ativo Não Circulante;2339184.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02;Ativo Não Circulante;2329646.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01;Ativo Realizável a Longo Prazo;1578402.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01;Ativo Realizável a Longo Prazo;1570473.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.04;Contas a Receber;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.04;Contas a Receber;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.05;Estoques;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.05;Estoques;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.06;Ativos Biológicos;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.06;Ativos Biológicos;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.07;Tributos Diferidos;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.07;Tributos Diferidos;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.08;Despesas Antecipadas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.08;Despesas Antecipadas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.09;Créditos com Partes Relacionadas;1578332.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.09;Créditos com Partes Relacionadas;1570408.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.09.01;Créditos com Coligadas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.09.01;Créditos com Coligadas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.09.02;Créditos com Controladas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.09.02;Créditos com Controladas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.09.05;Partes relacionadas;1578332.0;N
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.09.05;Partes relacionadas;1570408.0;N
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.10;Outros Ativos Não Circulantes;70.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.10;Outros Ativos Não Circulantes;65.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.10.01;Ativos Não-Correntes a Venda;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.10.01;Ativos Não-Correntes a Venda;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.10.02;Ativos de Operações Descontinuadas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.10.02;Ativos de Operações Descontinuadas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.10.03;Depósitos;70.0;N
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.10.03;Depósitos;65.0;N
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.10.04;Outros ativos não circulantes;0.0;N
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.10.04;Outros ativos não circulantes;0.0;N
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.02;Investimentos;760782.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.02;Investimentos;759173.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.02.01;Participações Societárias;760782.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.02.01;Participações Societárias;759173.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.02.01.01;Participações em Coligadas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.02.01.01;Participações em Coligadas;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.02.01.02;Participações em Controladas;760782.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.02.01.02;Participações em Controladas;759173.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.02.01.03;Participações em Controladas em Conjunto;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.02.01.03;Participações em Controladas em Conjunto;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.02.01.04;Outros Investimentos;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.02.01.04;Outros Investimentos;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.02.02;Propriedades para Investimento;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.02.02;Propriedades para Investimento;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.03;Imobilizado;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.03;Imobilizado;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.03.01;Imobilizado em Operação;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.03.01;Imobilizado em Operação;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.03.02;Direito de Uso em Arrendamento;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.03.02;Direito de Uso em Arrendamento;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.03.03;Imobilizado em Andamento;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.03.03;Imobilizado em Andamento;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.04;Intangível;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.04;Intangível;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.04.01;Intangíveis;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.04.01;Intangíveis;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.04.01.01;Contrato de Concessão;0.0;S
09.305.994/0001-29;2024-12-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.04.01.01;Contrato de Concessão;0.0;S
